id_rssd,name,state,city,filing_type,reporting_period,has_filed
586960,PEOPLES STATE BANK,TX,SHEPHERD                 ,051,12/31/2025,True
776369,FIRST STATE BANK OF ODEM,TX,ODEM                     ,051,12/31/2025,True
714165,"CITY NATIONAL BANK OF SAN SABA, THE",TX,SAN SABA                 ,051,12/31/2025,True
665258,"LONE OAK BANK, NATIONAL ASSOCIATION",TX,ELDORADO                 ,051,12/31/2025,True
406666,WEST TEXAS STATE BANK,TX,SNYDER                   ,051,12/31/2025,True
340751,CLEAR FORK BANK NATIONAL ASSOCIATION,TX,ALBANY                   ,051,12/31/2025,True
552974,"SHELBY SAVINGS BANK, SSB",TX,CENTER                   ,041,12/31/2025,True
875057,FARMERS STATE BANK,TX,CENTER                   ,051,12/31/2025,True
410560,FIRST STATE BANK,TX,STRATFORD                ,051,12/31/2025,True
262358,AMERICAN STATE BANK,TX,ARP                      ,051,12/31/2025,True
869663,CITIZENS 1ST BANK,TX,TYLER                    ,051,12/31/2025,True
361167,SOUTHSIDE BANK,TX,TYLER                    ,041,12/31/2025,True
411062,"FIRST NATIONAL BANK OF STERLING CITY, THE",TX,STERLING CITY            ,051,12/31/2025,True
138257,"FIRST NATIONAL BANK OF ASPERMONT, THE",TX,ASPERMONT                ,051,12/31/2025,True
591366,"FIRST NATIONAL BANK OF SONORA, THE",TX,SONORA                   ,041,12/31/2025,True
995955,KRESS NATIONAL BANK,TX,KRESS                    ,051,12/31/2025,True
2568063,FIRST COMMAND BANK,TX,FORT WORTH               ,051,12/31/2025,True
822556,TEXAS EXCHANGE BANK,TX,CROWLEY                  ,041,12/31/2025,True
240954,FIRST NATIONAL BANK OF BURLESON,TX,BURLESON                 ,051,12/31/2025,True
339072,"COLONIAL SAVINGS, FA",TX,FORT WORTH               ,041,12/31/2025,True
867650,PINNACLE BANK,TX,FORT WORTH               ,041,12/31/2025,True
859552,BANK OF THE WEST,TX,GRAPEVINE                ,041,12/31/2025,True
3150205,WORTHINGTON BANK,TX,ARLINGTON                ,051,12/31/2025,True
3185896,"TRINITY BANK, NATIONAL ASSOCIATION",TX,FORT WORTH               ,051,12/31/2025,True
426057,SPECTRA BANK,TX,FORT WORTH               ,051,12/31/2025,True
406059,NBT FINANCIAL BANK,TX,FORT WORTH               ,051,12/31/2025,True
498456,AVANA BANK,TX,ABILENE                  ,051,12/31/2025,True
470050,FIRST FINANCIAL BANK,TX,ABILENE                  ,041,12/31/2025,True
764067,"AMERICAN NATIONAL BANK OF MOUNT PLEASANT, THE",TX,MOUNT PLEASANT           ,051,12/31/2025,True
748964,TEXAS STATE BANK,TX,SAN ANGELO               ,051,12/31/2025,True
703552,"HORIZON BANK, SSB",TX,AUSTIN                   ,051,12/31/2025,True
3347911,AUSTIN CAPITAL BANK SSB,TX,AUSTIN                   ,051,12/31/2025,True
6009630,"FUNDBANK, NATIONAL ASSOCIATION",TX,AUSTIN                   ,051,12/31/2025,True
3134399,PRIMEBANK OF TEXAS,TX,AUSTIN                   ,051,12/31/2025,True
1429028,"KEYSTONE BANK, SSB",TX,BEE CAVE                 ,051,12/31/2025,True
479567,"FIRST NATIONAL BANK OF TRINITY, THE",TX,TRINITY                  ,051,12/31/2025,True
625065,CITIZENS STATE BANK,TX,WOODVILLE                ,051,12/31/2025,True
445955,"FIRST NATIONAL BANK OF EAST TEXAS, THE",TX,GILMER                   ,051,12/31/2025,True
323651,GILMER NATIONAL BANK,TX,GILMER                   ,051,12/31/2025,True
273662,FIRST STATE BANK OF UVALDE,TX,UVALDE                   ,051,12/31/2025,True
623454,"BANK AND TRUST, SSB, THE",TX,DEL RIO                  ,051,12/31/2025,True
30052,AMISTAD BANK,TX,DEL RIO                  ,051,12/31/2025,True
31657,"FIRST STATE BANK OF BEN WHEELER, TEXAS",TX,BEN WHEELER              ,051,12/31/2025,True
583352,FIRST NATIONAL BANK OF HUNTSVILLE,TX,HUNTSVILLE               ,051,12/31/2025,True
857455,TEJAS BANK,TX,MONAHANS                 ,051,12/31/2025,True
227357,"BRENHAM NATIONAL BANK, THE",TX,BRENHAM                  ,051,12/31/2025,True
564557,FALCON INTERNATIONAL BANK,TX,LAREDO                   ,031,12/31/2025,True
625159,COMMERCE BANK,TX,LAREDO                   ,041,12/31/2025,True
1001152,INTERNATIONAL BANK OF COMMERCE,TX,LAREDO                   ,041,12/31/2025,True
528960,TEXAS COMMUNITY BANK,TX,LAREDO                   ,041,12/31/2025,True
888552,"FIRST STATE BANK, THE",TX,LOUISE                   ,051,12/31/2025,True
664756,PROSPERITY BANK,TX,EL CAMPO                 ,041,12/31/2025,True
938859,NEWFIRST NATIONAL BANK,TX,EL CAMPO                 ,051,12/31/2025,True
239659,FIRST BANK,TX,BURKBURNETT              ,051,12/31/2025,True
375566,FIRST NATIONAL BANK,TX,WICHITA FALLS            ,051,12/31/2025,True
498362,AMERICAN NATIONAL BANK & TRUST,TX,WICHITA FALLS            ,041,12/31/2025,True
548267,"WAGGONER NATIONAL BANK OF VERNON, THE",TX,VERNON                   ,051,12/31/2025,True
181963,"CITY NATIONAL BANK OF TAYLOR, THE",TX,TAYLOR                   ,051,12/31/2025,True
272151,"GRANGER NATIONAL BANK, THE",TX,GRANGER                  ,051,12/31/2025,True
3821037,R BANK,TX,ROUND ROCK               ,041,12/31/2025,True
444350,FIRST TEXAS BANK,TX,GEORGETOWN               ,051,12/31/2025,True
174367,COMMERCE BANK TEXAS,TX,STOCKDALE                ,051,12/31/2025,True
3479018,"COMMUNITY BANK, THE",TX,BRIDGEPORT               ,051,12/31/2025,True
501767,"FIRST NATIONAL BANK OF WINNSBORO, THE",TX,WINNSBORO                ,051,12/31/2025,True
279,"BROADSTREET BANK, SSB",TX,MINEOLA                  ,051,12/31/2025,True
839974,"GRAHAM SAVINGS AND LOAN, SSB",TX,GRAHAM                   ,051,12/31/2025,True
327855,CIERA BANK,TX,GRAHAM                   ,051,12/31/2025,True
216164,FIRST STATE BANK,TX,GRAHAM                   ,051,12/31/2025,True
382069,INTERNATIONAL BANK OF COMMERCE,TX,ZAPATA                   ,041,12/31/2025,True
218261,ZAPATA NATIONAL BANK,TX,ZAPATA                   ,051,12/31/2025,True
969956,ZAVALA COUNTY BANK,TX,CRYSTAL CITY             ,051,12/31/2025,True
488653,"NATIONAL BANK OF ANDREWS, THE",TX,ANDREWS                  ,051,9/30/2025,True
917555,UBANK,TX,HUNTINGTON               ,051,9/30/2025,True
660879,"ANGELINA SAVINGS BANK, SSB",TX,LUFKIN                   ,051,9/30/2025,True
830252,"LYTLE STATE BANK OF LYTLE, TEXAS, THE",TX,LYTLE                    ,051,9/30/2025,True
851060,ATASCOSA BANK,TX,PLEASANTON               ,051,9/30/2025,True
3463875,AUSTIN COUNTY STATE BANK,TX,BELLVILLE                ,051,9/30/2025,True
523161,CITIZENS STATE BANK,TX,SEALY                    ,051,9/30/2025,True
283867,WALLIS BANK,TX,WALLIS                   ,051,9/30/2025,True
78157,BANDERA BANK,TX,BANDERA                  ,051,9/30/2025,True
18050,"FIRST NATIONAL BANK OF BASTROP, THE",TX,BASTROP                  ,051,9/30/2025,True
3472046,FRONTIER BANK OF TEXAS,TX,ELGIN                    ,051,9/30/2025,True
613950,FIRST NATIONAL BANK TEXAS DBA FIRST CONVENIENCE BANK,TX,KILLEEN                  ,051,9/30/2025,True
537560,"EXTRACO BANKS, NATIONAL ASSOCIATION",TX,TEMPLE                   ,041,9/30/2025,True
26765,VANTAGE BANK TEXAS,TX,SAN ANTONIO              ,051,9/30/2025,True
474254,BROADWAY NATIONAL BANK,TX,SAN ANTONIO              ,041,9/30/2025,True
45560,JEFFERSON BANK,TX,SAN ANTONIO              ,041,9/30/2025,True
3548567,TEXAS PARTNERS BANK,TX,SAN ANTONIO              ,051,9/30/2025,True
682563,FROST BANK,TX,SAN ANTONIO              ,041,9/30/2025,True
977652,JOHNSON CITY BANK,TX,JOHNSON CITY             ,051,9/30/2025,True
819154,FIRST SECURITY STATE BANK,TX,CRANFILLS GAP            ,051,9/30/2025,True
198961,FIRST NATIONAL BANK OF BOSQUE COUNTY,TX,VALLEY MILLS             ,051,9/30/2025,True
621357,STATE BANK OF DE KALB,TX,DE KALB                  ,051,9/30/2025,True
794149,COMMERCIAL NATIONAL BANK OF TEXARKANA,TX,TEXARKANA                ,041,9/30/2025,True
863362,BRAZOS NATIONAL BANK,TX,RICHWOOD                 ,051,9/30/2025,True
3485215,"TEXAS ADVANTAGE COMMUNITY BANK, NATIONAL ASSOCIATION",TX,ALVIN                    ,051,9/30/2025,True
796152,FIRST STATE BANK,TX,CLUTE                    ,051,9/30/2025,True
560353,FIRST NATIONAL BANK OF LAKE JACKSON,TX,LAKE JACKSON             ,051,9/30/2025,True
3447576,AMERICAN MOMENTUM BANK,TX,COLLEGE STATION          ,051,9/30/2025,True
644963,"FIRST NATIONAL BANK OF QUITAQUE, THE",TX,QUITAQUE                 ,051,9/30/2025,True
442655,"FIRST NATIONAL BANK IN FALFURRIAS, THE",TX,FALFURRIAS               ,051,9/30/2025,True
232856,TEXASBANK,TX,BROWNWOOD                ,051,9/30/2025,True
233358,CITIZENS NATIONAL BANK AT BROWNWOOD,TX,BROWNWOOD                ,051,9/30/2025,True
261360,CITIZENS STATE BANK,TX,SOMERVILLE               ,051,9/30/2025,True
303653,FIRST STATE BANK OF BURNET,TX,BURNET                   ,051,9/30/2025,True
631150,FIRST-LOCKHART NATIONAL BANK,TX,LOCKHART                 ,051,9/30/2025,True
954653,CITIZENS STATE BANK OF LULING,TX,LULING                   ,051,9/30/2025,True
855264,FIRST NATIONAL BANK IN PORT LAVACA,TX,PORT LAVACA              ,051,9/30/2025,True
380458,TEXAS REGIONAL BANK,TX,HARLINGEN                ,051,9/30/2025,True
334264,FIRST COMMUNITY BANK,TX,SAN BENITO               ,051,9/30/2025,True
346566,FIRST NATIONAL BANK OF SOUTH PADRE ISLAND,TX,SOUTH PADRE ISLAND       ,051,9/30/2025,True
230759,INTERNATIONAL BANK OF COMMERCE,TX,BROWNSVILLE              ,041,9/30/2025,True
729178,"CYPRESS BANK, SSB",TX,PITTSBURG                ,051,9/30/2025,True
911160,PILGRIM BANK,TX,PITTSBURG                ,051,9/30/2025,True
460556,"STATE NATIONAL BANK OF GROOM, THE",TX,GROOM                    ,051,9/30/2025,True
849357,"FIRST NATIONAL BANK OF HUGHES SPRINGS, THE",TX,HUGHES SPRINGS           ,051,9/30/2025,True
809650,"TEXANA BANK, NATIONAL ASSOCIATION",TX,LINDEN                   ,041,9/30/2025,True
578255,FIRST UNITED BANK,TX,DIMMITT                  ,051,9/30/2025,True
424352,ANAHUAC NATIONAL BANK,TX,ANAHUAC                  ,051,9/30/2025,True
548351,"AUSTIN BANK, TEXAS NATIONAL ASSOCIATION",TX,JACKSONVILLE             ,041,9/30/2025,True
739355,TEXAS NATIONAL BANK OF JACKSONVILLE,TX,JACKSONVILLE             ,041,9/30/2025,True
803265,ROBERT LEE STATE BANK,TX,ROBERT LEE               ,051,9/30/2025,True
761954,COLEMAN COUNTY STATE BANK,TX,COLEMAN                  ,051,9/30/2025,True
980960,BENCHMARK BANK,TX,PLANO                    ,051,9/30/2025,True
735067,"TEXAS REPUBLIC BANK, NATIONAL ASSOCIATION",TX,FRISCO                   ,051,9/30/2025,True
1176881,MONET BANK,TX,PLANO                    ,041,9/30/2025,True
371362,WELLINGTON STATE BANK,TX,WELLINGTON               ,051,9/30/2025,True
801654,"FIRST STATE BANK, THE",TX,COLUMBUS                 ,051,9/30/2025,True
891253,COLUMBUS STATE BANK,TX,COLUMBUS                 ,051,9/30/2025,True
651952,"FIRST NATIONAL BANK OF EAGLE LAKE, THE",TX,EAGLE LAKE               ,051,9/30/2025,True
555256,FARMERS AND MERCHANTS BANK,TX,DE LEON                  ,051,9/30/2025,True
656658,TEXAS FINANCIAL BANK DBA THE EDEN STATE BANK,TX,EDEN                     ,051,9/30/2025,True
719964,FIRST STATE BANK,TX,PAINT ROCK               ,051,9/30/2025,True
765662,MUENSTER STATE BANK,TX,MUENSTER                 ,051,9/30/2025,True
435750,FIRST STATE BANK,TX,GAINESVILLE              ,041,9/30/2025,True
379153,"FIRST NATIONAL BANK OF EVANT, THE",TX,EVANT                    ,051,9/30/2025,True
780263,OZONA BANK,TX,OZONA                    ,051,9/30/2025,True
901451,CITIZENS NATIONAL BANK OF CROSBYTON,TX,CROSBYTON                ,051,9/30/2025,True
971070,"DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB",TX,DALHART                  ,051,9/30/2025,True
652874,NEXBANK,TX,DALLAS                   ,041,9/30/2025,True
638355,"BANK OF DESOTO, NATIONAL ASSOCIATION",TX,DESOTO                   ,051,9/30/2025,True
384652,"DALLAS CAPITAL BANK, NATIONAL ASSOCIATION",TX,DALLAS                   ,051,9/30/2025,True
